date,all_blocks,proof,difference,diff_pct
2025-08-01,120,120,0,0.0
2025-08-02,172,172,0,0.0
2025-08-03,133,133,0,0.0
2025-08-04,112,112,0,0.0
2025-08-05,94,94,0,0.0
2025-08-06,56,56,0,0.0
2025-08-07,172,172,0,0.0
2025-08-08,170,170,0,0.0
2025-08-09,224,224,0,0.0
2025-08-10,191,191,0,0.0
2025-08-11,184,193,9,4.89
2025-08-12,215,217,2,0.93
2025-08-13,132,132,0,0.0
2025-08-14,220,242,22,10.0
2025-08-15,230,230,0,0.0
2025-08-16,219,221,2,0.91
2025-08-17,188,191,3,1.6
2025-08-18,177,182,5,2.82
2025-08-19,216,223,7,3.24
2025-08-20,148,148,0,0.0
2025-08-21,199,198,-1,-0.5
2025-08-22,172,172,0,0.0
2025-08-23,188,188,0,0.0
2025-08-24,175,175,0,0.0
2025-08-25,213,214,1,0.47
2025-08-26,205,207,2,0.98
2025-08-27,128,128,0,0.0
2025-08-28,224,224,0,0.0
2025-08-29,218,220,2,0.92
2025-08-30,225,225,0,0.0
2025-08-31,230,230,0,0.0
2025-09-01,210,211,1,0.48
2025-09-02,133,207,74,55.64
2025-09-03,68,130,62,91.18
2025-09-04,203,202,-1,-0.49
2025-09-05,187,194,7,3.74
2025-09-06,226,247,21,9.29
2025-09-07,258,258,0,0.0
2025-09-08,198,198,0,0.0
2025-09-09,219,219,0,0.0
2025-09-10,145,145,0,0.0
2025-09-11,243,245,2,0.82
2025-09-12,230,230,0,0.0
2025-09-13,245,245,0,0.0
2025-09-14,226,226,0,0.0
2025-09-15,227,227,0,0.0
2025-09-16,55,189,134,243.64
2025-09-17,35,114,79,225.71
2025-09-18,232,232,0,0.0
2025-09-19,230,230,0,0.0
2025-09-20,209,209,0,0.0
2025-09-21,187,187,0,0.0
2025-09-22,155,155,0,0.0
2025-09-23,99,166,67,67.68
2025-09-24,86,120,34,39.53
2025-09-25,147,147,0,0.0
2025-09-26,147,147,0,0.0
2025-09-27,162,162,0,0.0
2025-09-28,141,141,0,0.0
2025-09-29,133,133,0,0.0
2025-09-30,71,129,58,81.69
2025-10-01,71,101,30,42.25
2025-10-02,150,150,0,0.0
2025-10-03,169,169,0,0.0
2025-10-04,164,164,0,0.0
2025-10-05,134,134,0,0.0
2025-10-06,161,162,1,0.62
2025-10-07,133,211,78,58.65
2025-10-08,53,124,71,133.96
2025-10-09,200,200,0,0.0
2025-10-10,126,126,0,0.0
2025-10-11,135,135,0,0.0
2025-10-12,153,153,0,0.0
2025-10-13,159,159,0,0.0
2025-10-14,152,152,0,0.0
2025-10-15,95,95,0,0.0
2025-10-16,160,160,0,0.0
2025-10-17,128,127,-1,-0.78
