period,start,end,duration_hours
P1,2025-08-11 12:00:00,2025-08-12 07:00:00,19.0
P2,2025-08-14 14:00:00,2025-08-14 18:00:00,4.0
P3,2025-08-21 14:00:00,2025-08-22 01:00:00,11.0
P4,2025-08-25 15:00:00,2025-08-26 08:00:00,17.0
P5,2025-08-28 12:00:00,2025-08-29 09:00:00,21.0
P6,2025-08-30 14:00:00,2025-08-31 17:00:00,27.0
P7,2025-09-01 14:00:00,2025-09-02 13:00:00,23.0
P8,2025-09-04 17:00:00,2025-09-15 04:00:00,251.0
P9,2025-09-18 12:00:00,2025-09-19 08:00:00,20.0
P10,2025-10-06 00:00:00,2025-10-07 13:00:00,37.0
