period,interval,inter_window,active_start,active_end,off_start,off_end,off_hours,active_alpha,active_observed_yield,active_qubic_main_blocks,active_total_main_blocks,active_expected_main_blocks,active_delta_blocks,post_qubic_main_blocks,post_counterfactual_qubic_blocks,post_network_main_blocks,post_target_network_blocks,post_qubic_difficulty_windfall_blocks,net_qubic_blocks
P1,G1,P1->P2,2025-08-11 12:00:00,2025-08-12 07:00:00,2025-08-12 07:00:00,2025-08-14 14:00:00,55.0,0.3532258064516129,0.3385964912280702,193,508,570.0,-8.33870967741936,332,282.46208043207696,1682,1650.0,49.537919567923026,41.19920989050367
P2,G2,P2->P3,2025-08-14 14:00:00,2025-08-14 18:00:00,2025-08-14 18:00:00,2025-08-21 14:00:00,164.0,0.38311688311688313,0.30833333333333335,37,132,120.0,-8.974025974025977,1337,1337.0,4880,4920.0,0.0,-8.974025974025977
P3,G3,P3->P4,2025-08-21 14:00:00,2025-08-22 01:00:00,2025-08-22 01:00:00,2025-08-25 15:00:00,86.0,0.3377659574468085,0.35454545454545455,117,326,330.0,5.5372340425531945,597,590.7038026555897,2559,2580.0,6.296197344410258,11.833431386963452
P4,G4,P4->P5,2025-08-25 15:00:00,2025-08-26 08:00:00,2025-08-26 08:00:00,2025-08-28 12:00:00,52.0,0.33695652173913043,0.33137254901960783,169,507,510.0,-2.8478260869565304,317,314.48233593374795,1536,1560.0,2.517664066252039,-0.3301620207044915
P5,G5,P5->P6,2025-08-28 12:00:00,2025-08-29 09:00:00,2025-08-29 09:00:00,2025-08-30 14:00:00,29.0,0.3181818181818182,0.2777777777777778,175,605,630.0,-25.45454545454544,213,199.3742168752447,909,870.0,13.625783124755289,-11.82876232979015
P6,G6,P6->P7,2025-08-30 14:00:00,2025-08-31 17:00:00,2025-08-31 17:00:00,2025-09-01 14:00:00,21.0,0.3223480947476828,0.29259259259259257,237,769,810.0,-24.101956745623056,127,114.12881475216548,693,630.0,12.87118524783451,-11.230771497788545
P7,G7,P7->P8,2025-09-01 14:00:00,2025-09-02 13:00:00,2025-09-02 13:00:00,2025-09-04 17:00:00,52.0,0.3263546798029557,0.28695652173913044,198,634,690.0,-27.18472906403943,305,263.88082304297734,1624,1560.0,41.11917695702263,13.9344478929832
P8,G8,P8->P9,2025-09-04 17:00:00,2025-09-15 04:00:00,2025-09-15 04:00:00,2025-09-18 12:00:00,80.0,0.2604957570343904,0.22576361221779548,1700,7429,7530.0,-261.5330504689596,541,413.47980662510145,2418,2400.0,127.52019337489858,-134.012857094061
P9,G9,P9->P10,2025-09-18 12:00:00,2025-09-19 08:00:00,2025-09-19 08:00:00,2025-10-06 00:00:00,400.0,0.3435897435897436,0.35333333333333333,212,617,600.0,5.84615384615384,2534,2534.0,11955,12000.0,0.0,5.84615384615384
P10,G10,P10->end,2025-10-06 00:00:00,2025-10-07 13:00:00,2025-10-07 13:00:00,2025-10-17 23:59:50,250.99722222222223,0.23843700159489634,0.1810810810810811,201,1053,1110.0,-63.66507177033492,1503,1294.7042914849546,7551,7529.916666666667,208.29570851504536,144.63063674471044
