week,length_bin_upper,fork_count,length_bin_label
2025-07-30,1,5,1
2025-07-30,2,0,2
2025-07-30,3,0,3
2025-07-30,4,0,4
2025-07-30,5,0,5
2025-07-30,6,0,6+
2025-08-06,1,88,1
2025-08-06,2,11,2
2025-08-06,3,4,3
2025-08-06,4,2,4
2025-08-06,5,0,5
2025-08-06,6,1,6+
2025-08-13,1,77,1
2025-08-13,2,4,2
2025-08-13,3,0,3
2025-08-13,4,1,4
2025-08-13,5,1,5
2025-08-13,6,1,6+
2025-08-20,1,134,1
2025-08-20,2,16,2
2025-08-20,3,4,3
2025-08-20,4,2,4
2025-08-20,5,2,5
2025-08-20,6,3,6+
2025-08-27,1,411,1
2025-08-27,2,30,2
2025-08-27,3,16,3
2025-08-27,4,7,4
2025-08-27,5,4,5
2025-08-27,6,1,6+
2025-09-03,1,592,1
2025-09-03,2,34,2
2025-09-03,3,28,3
2025-09-03,4,3,4
2025-09-03,5,2,5
2025-09-03,6,3,6+
2025-09-10,1,543,1
2025-09-10,2,58,2
2025-09-10,3,22,3
2025-09-10,4,1,4
2025-09-10,5,0,5
2025-09-10,6,3,6+
2025-09-17,1,160,1
2025-09-17,2,10,2
2025-09-17,3,7,3
2025-09-17,4,3,4
2025-09-17,5,0,5
2025-09-17,6,0,6+
2025-09-24,1,4,1
2025-09-24,2,0,2
2025-09-24,3,0,3
2025-09-24,4,0,4
2025-09-24,5,0,5
2025-09-24,6,0,6+
2025-10-01,1,174,1
2025-10-01,2,7,2
2025-10-01,3,2,3
2025-10-01,4,0,4
2025-10-01,5,3,5
2025-10-01,6,0,6+
2025-10-08,1,7,1
2025-10-08,2,0,2
2025-10-08,3,0,3
2025-10-08,4,0,4
2025-10-08,5,0,5
2025-10-08,6,0,6+
2025-10-15,1,4,1
2025-10-15,2,0,2
2025-10-15,3,0,3
2025-10-15,4,0,4
2025-10-15,5,0,5
2025-10-15,6,0,6+
