date,total_blocks,qubic_blocks,orphan_blocks,qubic_orphan_blocks,other_orphan_blocks,qubic_share,mean_difficulty
2025-08-01,682,120,1,0,1,0.17595307917888564,640569586227.2932
2025-08-02,787,172,2,0,2,0.21855146124523506,636206378461.3342
2025-08-03,692,133,1,0,1,0.19219653179190752,692406870944.0304
2025-08-04,716,112,0,0,0,0.1564245810055866,665856806161.3812
2025-08-05,694,94,1,0,1,0.13544668587896252,638047650321.2997
2025-08-06,721,56,4,0,4,0.07766990291262135,596125379928.7101
2025-08-07,783,172,2,0,2,0.21966794380587484,644837983686.4559
2025-08-08,666,170,2,0,2,0.2552552552552553,714029760251.7913
2025-08-09,786,224,10,0,10,0.28498727735368956,645922666623.8867
2025-08-10,659,191,2,0,2,0.2898330804248862,719386187826.5934
2025-08-11,764,193,64,22,42,0.2526178010471204,650808464120.949
2025-08-12,802,218,52,7,45,0.2718204488778055,618362234431.1833
2025-08-13,712,132,1,0,1,0.1853932584269663,657750986608.4017
2025-08-14,809,245,30,29,1,0.30284301606922126,634293496846.796
2025-08-15,669,230,6,5,1,0.34379671150971597,750206600662.4126
2025-08-16,734,223,27,15,12,0.30381471389645776,640141901928.8992
2025-08-17,744,193,19,8,11,0.2594086021505376,645428304916.2231
2025-08-18,723,182,11,8,3,0.2517289073305671,649939160934.6141
2025-08-19,743,223,8,7,1,0.3001345895020188,646498517169.8896
2025-08-20,724,148,5,2,3,0.20441988950276244,657650931579.21
2025-08-21,742,199,50,11,39,0.26819407008086255,625521570113.8113
2025-08-22,718,172,7,3,4,0.2395543175487465,630378534731.8816
2025-08-23,752,188,7,4,3,0.25,578345393001.9242
2025-08-24,683,175,4,3,1,0.2562225475841874,661534215392.1552
2025-08-25,785,214,81,21,60,0.27261146496815286,579091854721.2535
2025-08-26,782,207,61,31,30,0.2647058823529412,589241530747.0997
2025-08-27,675,128,2,1,1,0.18962962962962962,548541076682.2237
2025-08-28,859,224,111,47,64,0.2607683352735739,527823480580.6414
2025-08-29,796,220,71,31,40,0.27638190954773867,539834532694.005
2025-08-30,812,225,81,26,55,0.2770935960591133,558954432514.6921
2025-08-31,850,230,126,54,72,0.27058823529411763,540102215758.89056
2025-09-01,827,211,90,36,54,0.2551390568319226,598169151982.7594
2025-09-02,795,207,92,33,59,0.26037735849056604,575291683879.1975
2025-09-03,702,130,1,1,0,0.18518518518518517,596384310539.3561
2025-09-04,781,203,62,20,42,0.2599231754161332,612955598043.1934
2025-09-05,817,194,123,48,75,0.23745410036719705,555497190303.9878
2025-09-06,920,247,157,62,95,0.2684782608695652,527820347751.0
2025-09-07,846,258,164,55,109,0.3049645390070922,566492500228.7979
2025-09-08,833,198,132,64,68,0.23769507803121248,536529369173.5462
2025-09-09,896,219,147,65,82,0.24441964285714285,533771978300.3415
2025-09-10,764,145,89,42,47,0.18979057591623036,522843223918.555
2025-09-11,915,245,170,72,98,0.2677595628415301,514205368352.8634
2025-09-12,851,230,151,67,84,0.2702702702702703,530122739604.5323
2025-09-13,921,245,166,72,94,0.26601520086862107,522109906105.5375
2025-09-14,832,226,153,64,89,0.27163461538461536,558078581049.1406
2025-09-15,874,227,21,6,15,0.2597254004576659,585934990702.214
2025-09-16,670,189,2,1,1,0.282089552238806,696849331934.1418
2025-09-17,699,114,25,14,11,0.1630901287553648,614173110675.6924
2025-09-18,810,232,104,30,74,0.28641975308641976,566693872728.5876
2025-09-19,810,230,71,31,40,0.2839506172839506,587674532709.0186
2025-09-20,803,209,7,2,5,0.2602739726027397,603504858414.1245
2025-09-21,641,187,3,1,2,0.2917316692667707,713044617378.1498
2025-09-22,764,155,1,0,1,0.20287958115183247,628846413036.7146
2025-09-23,691,166,2,1,1,0.2402315484804631,663074396724.6888
2025-09-24,725,120,1,0,1,0.16551724137931034,595684507373.7476
2025-09-25,735,147,0,0,0,0.2,657271421002.8368
2025-09-26,681,147,0,0,0,0.21585903083700442,668165822071.558
2025-09-27,749,162,1,0,1,0.2162883845126836,585780826939.2242
2025-09-28,709,141,0,0,0,0.19887165021156558,676832140878.5388
2025-09-29,721,133,2,0,2,0.18446601941747573,633488212704.6505
2025-09-30,694,129,0,0,0,0.18587896253602307,638099926669.4799
2025-10-01,692,101,0,0,0,0.14595375722543352,584909025869.9408
2025-10-02,761,150,1,1,0,0.19710906701708278,564331661799.1814
2025-10-03,719,169,1,0,1,0.23504867872044508,638005725255.5771
2025-10-04,737,164,2,1,1,0.2225237449118046,580275291433.7584
2025-10-05,677,134,3,2,1,0.19793205317577547,623782464578.6588
2025-10-06,776,162,109,59,50,0.20876288659793815,555048071711.317
2025-10-07,851,211,93,39,54,0.24794359576968272,512132697241.7779
2025-10-08,706,124,0,0,0,0.17563739376770537,572426758646.3867
2025-10-09,806,200,0,0,0,0.24813895781637718,566213017948.4603
2025-10-10,680,126,1,0,1,0.18529411764705883,658417348629.9985
2025-10-11,727,135,0,0,0,0.1856946354883081,608396372006.0096
2025-10-12,719,153,4,1,3,0.21279554937413073,632870679863.1641
2025-10-13,720,159,0,0,0,0.22083333333333333,621368170290.2458
2025-10-14,673,152,2,0,2,0.22585438335809807,655096021126.0267
2025-10-15,685,95,0,0,0,0.1386861313868613,553165279325.5605
2025-10-16,810,160,1,0,1,0.19753086419753085,578214133124.7062
2025-10-17,665,128,3,2,1,0.1924812030075188,660460365394.6045
