hour,total_blocks,qubic_blocks,orphan_blocks,qubic_orphan_blocks,other_orphan_blocks,qubic_share,mean_difficulty
2025-08-01 00:00:00,30,11,0,0,0,0.36666666666666664,652755306887.0333
2025-08-01 01:00:00,29,4,0,0,0,0.13793103448275862,657470835048.9656
2025-08-01 02:00:00,28,5,0,0,0,0.17857142857142858,656546979967.5714
2025-08-01 03:00:00,31,7,0,0,0,0.22580645161290322,656546371718.4517
2025-08-01 04:00:00,25,5,0,0,0,0.2,657924513136.72
2025-08-01 05:00:00,28,3,0,0,0,0.10714285714285714,653316235483.5
2025-08-01 06:00:00,34,5,0,0,0,0.14705882352941177,652777534382.3823
2025-08-01 07:00:00,30,4,0,0,0,0.13333333333333333,656004261026.4667
2025-08-01 08:00:00,24,5,0,0,0,0.20833333333333334,652691952617.7084
2025-08-01 09:00:00,20,3,0,0,0,0.15,652870524850.0
2025-08-01 10:00:00,28,3,0,0,0,0.10714285714285714,664121897397.8928
2025-08-01 11:00:00,29,1,0,0,0,0.034482758620689655,658240833039.3448
2025-08-01 12:00:00,26,8,0,0,0,0.3076923076923077,644901775733.8462
2025-08-01 13:00:00,25,3,0,0,0,0.12,637756688550.72
2025-08-01 14:00:00,28,4,0,0,0,0.14285714285714285,637608514203.6072
2025-08-01 15:00:00,34,3,0,0,0,0.08823529411764706,629788449708.7059
2025-08-01 16:00:00,26,6,0,0,0,0.23076923076923078,629730810601.8077
2025-08-01 17:00:00,30,5,0,0,0,0.16666666666666666,625893343700.9
2025-08-01 18:00:00,29,5,0,0,0,0.1724137931034483,638031648293.9656
2025-08-01 19:00:00,28,5,0,0,0,0.17857142857142858,631477475502.3572
2025-08-01 20:00:00,28,6,1,0,1,0.21428571428571427,623233957444.0358
2025-08-01 21:00:00,24,5,0,0,0,0.20833333333333334,615339587783.0834
2025-08-01 22:00:00,34,7,0,0,0,0.20588235294117646,605023927930.2941
2025-08-01 23:00:00,34,7,0,0,0,0.20588235294117646,598827450529.2354
2025-08-02 00:00:00,31,7,1,0,1,0.22580645161290322,597788905302.9354
2025-08-02 01:00:00,34,9,0,0,0,0.2647058823529412,599547547944.7941
2025-08-02 02:00:00,37,11,0,0,0,0.2972972972972973,600806567587.3784
2025-08-02 03:00:00,22,2,0,0,0,0.09090909090909091,600560373354.5454
2025-08-02 04:00:00,32,7,0,0,0,0.21875,606499248401.8125
2025-08-02 05:00:00,44,5,0,0,0,0.11363636363636363,606082272112.9546
2025-08-02 06:00:00,43,6,0,0,0,0.13953488372093023,594838238810.907
2025-08-02 07:00:00,30,2,0,0,0,0.06666666666666667,609370443179.8
2025-08-02 08:00:00,28,6,0,0,0,0.21428571428571427,624684106300.5358
2025-08-02 09:00:00,32,3,0,0,0,0.09375,633185403940.5625
2025-08-02 10:00:00,22,5,0,0,0,0.22727272727272727,637437585228.0454
2025-08-02 11:00:00,27,4,0,0,0,0.14814814814814814,639258899937.7778
2025-08-02 12:00:00,40,10,0,0,0,0.25,642699713954.85
2025-08-02 13:00:00,38,9,0,0,0,0.23684210526315788,630189808802.8948
2025-08-02 14:00:00,26,8,0,0,0,0.3076923076923077,633342142713.0769
2025-08-02 15:00:00,30,8,0,0,0,0.26666666666666666,644361824845.1333
2025-08-02 16:00:00,27,3,0,0,0,0.1111111111111111,656397158082.3704
2025-08-02 17:00:00,40,13,0,0,0,0.325,656803872157.475
2025-08-02 18:00:00,36,7,0,0,0,0.19444444444444445,662605731483.6389
2025-08-02 19:00:00,36,9,1,0,1,0.25,660194316740.75
2025-08-02 20:00:00,37,11,0,0,0,0.2972972972972973,675034839337.4324
2025-08-02 21:00:00,26,7,0,0,0,0.2692307692307692,683082066788.8846
2025-08-02 22:00:00,36,8,0,0,0,0.2222222222222222,685045495441.5834
2025-08-02 23:00:00,33,12,0,0,0,0.36363636363636365,693879548817.8788
2025-08-03 00:00:00,29,8,0,0,0,0.27586206896551724,702117797391.8276
2025-08-03 01:00:00,25,8,0,0,0,0.32,712618717499.04
2025-08-03 02:00:00,33,5,0,0,0,0.15151515151515152,705887462200.8485
2025-08-03 03:00:00,28,9,0,0,0,0.32142857142857145,700573624196.3214
2025-08-03 04:00:00,26,4,0,0,0,0.15384615384615385,686975142407.6154
2025-08-03 05:00:00,30,5,0,0,0,0.16666666666666666,695401503987.9667
2025-08-03 06:00:00,25,7,0,0,0,0.28,698266378328.76
2025-08-03 07:00:00,25,3,0,0,0,0.12,698123529024.4
2025-08-03 08:00:00,26,6,1,0,1,0.23076923076923078,705913838766.6923
2025-08-03 09:00:00,22,4,0,0,0,0.18181818181818182,711647885734.3182
2025-08-03 10:00:00,28,3,0,0,0,0.10714285714285714,705106140991.6072
2025-08-03 11:00:00,42,9,0,0,0,0.21428571428571427,685334926124.1428
2025-08-03 12:00:00,25,3,0,0,0,0.12,674860280426.64
2025-08-03 13:00:00,33,3,0,0,0,0.09090909090909091,679747048355.7576
2025-08-03 14:00:00,33,1,0,0,0,0.030303030303030304,694580394274.7273
2025-08-03 15:00:00,34,7,0,0,0,0.20588235294117646,695265168819.0588
2025-08-03 16:00:00,30,6,0,0,0,0.2,690143979993.0
2025-08-03 17:00:00,36,8,0,0,0,0.2222222222222222,687566174332.3611
2025-08-03 18:00:00,27,5,0,0,0,0.18518518518518517,686340484299.037
2025-08-03 19:00:00,28,5,0,0,0,0.17857142857142858,683634701854.1428
2025-08-03 20:00:00,25,5,0,0,0,0.2,689394353822.68
2025-08-03 21:00:00,24,5,0,0,0,0.20833333333333334,687879009097.0834
2025-08-03 22:00:00,27,8,0,0,0,0.2962962962962963,676738592210.963
2025-08-03 23:00:00,31,6,0,0,0,0.1935483870967742,673523627145.5807
2025-08-04 00:00:00,34,6,0,0,0,0.17647058823529413,665492465214.5
2025-08-04 01:00:00,26,4,0,0,0,0.15384615384615385,665434212952.1154
2025-08-04 02:00:00,31,3,0,0,0,0.0967741935483871,663325049455.3549
2025-08-04 03:00:00,38,5,0,0,0,0.13157894736842105,665678773241.8158
2025-08-04 04:00:00,31,5,0,0,0,0.16129032258064516,665945003435.4193
2025-08-04 05:00:00,27,3,0,0,0,0.1111111111111111,669391216582.8148
2025-08-04 06:00:00,25,4,0,0,0,0.16,680274014201.28
2025-08-04 07:00:00,32,4,0,0,0,0.125,690468016393.25
2025-08-04 08:00:00,31,6,0,0,0,0.1935483870967742,692480720036.0646
2025-08-04 09:00:00,21,2,0,0,0,0.09523809523809523,685923065299.3334
2025-08-04 10:00:00,24,1,0,0,0,0.041666666666666664,680959812188.2084
2025-08-04 11:00:00,27,1,0,0,0,0.037037037037037035,676662862802.0741
2025-08-04 12:00:00,25,4,0,0,0,0.16,675813019854.24
2025-08-04 13:00:00,36,4,0,0,0,0.1111111111111111,660893326705.2778
2025-08-04 14:00:00,28,2,0,0,0,0.07142857142857142,650169454922.1786
2025-08-04 15:00:00,39,5,0,0,0,0.1282051282051282,643873826326.9231
2025-08-04 16:00:00,32,7,0,0,0,0.21875,643244912035.3438
2025-08-04 17:00:00,31,6,0,0,0,0.1935483870967742,641972424588.4517
2025-08-04 18:00:00,39,6,0,0,0,0.15384615384615385,651767180646.4872
2025-08-04 19:00:00,30,10,0,0,0,0.3333333333333333,658079908847.3334
2025-08-04 20:00:00,24,6,0,0,0,0.25,668290309557.8334
2025-08-04 21:00:00,31,5,0,0,0,0.16129032258064516,671710283605.258
2025-08-04 22:00:00,26,7,0,0,0,0.2692307692307692,671050215700.3077
2025-08-04 23:00:00,28,6,0,0,0,0.21428571428571427,667991604181.6786
2025-08-05 00:00:00,31,5,0,0,0,0.16129032258064516,665788385088.4517
2025-08-05 01:00:00,29,6,0,0,0,0.20689655172413793,660957895261.4482
2025-08-05 02:00:00,26,6,0,0,0,0.23076923076923078,660803471978.3077
2025-08-05 03:00:00,24,3,0,0,0,0.125,652671789901.625
2025-08-05 04:00:00,21,0,0,0,0,0.0,649811508845.3334
2025-08-05 05:00:00,26,1,0,0,0,0.038461538461538464,652550741770.0
2025-08-05 06:00:00,33,2,0,0,0,0.06060606060606061,652331286304.1818
2025-08-05 07:00:00,33,7,0,0,0,0.21212121212121213,637788995633.2424
2025-08-05 08:00:00,37,10,0,0,0,0.2702702702702703,634176984981.973
2025-08-05 09:00:00,28,0,0,0,0,0.0,644439123722.5714
2025-08-05 10:00:00,22,0,0,0,0,0.0,651823066796.4546
2025-08-05 11:00:00,29,2,0,0,0,0.06896551724137931,659351089005.0
2025-08-05 12:00:00,21,2,0,0,0,0.09523809523809523,657992331711.0476
2025-08-05 13:00:00,36,4,0,0,0,0.1111111111111111,648025147330.3055
2025-08-05 14:00:00,24,1,0,0,0,0.041666666666666664,637961023231.8334
2025-08-05 15:00:00,29,5,0,0,0,0.1724137931034483,628132472953.2413
2025-08-05 16:00:00,36,8,0,0,0,0.2222222222222222,626723622825.4445
2025-08-05 17:00:00,34,2,0,0,0,0.058823529411764705,618299402531.7941
2025-08-05 18:00:00,21,2,0,0,0,0.09523809523809523,612797172106.1904
2025-08-05 19:00:00,40,8,0,0,0,0.2,616272314902.275
2025-08-05 20:00:00,27,6,0,0,0,0.2222222222222222,617918180111.5555
2025-08-05 21:00:00,34,12,1,0,1,0.35294117647058826,614605157917.6177
2025-08-05 22:00:00,25,2,0,0,0,0.08,617029763567.8
2025-08-05 23:00:00,28,0,0,0,0,0.0,614741063431.75
2025-08-06 00:00:00,28,4,0,0,0,0.14285714285714285,617609153804.3214
2025-08-06 01:00:00,26,1,0,0,0,0.038461538461538464,613751935802.4615
2025-08-06 02:00:00,39,8,0,0,0,0.20512820512820512,608908447999.5128
2025-08-06 03:00:00,31,4,0,0,0,0.12903225806451613,616697299358.0
2025-08-06 04:00:00,28,2,0,0,0,0.07142857142857142,619406621323.9642
2025-08-06 05:00:00,19,0,0,0,0,0.0,623673282596.1052
2025-08-06 06:00:00,22,0,0,0,0,0.0,620668457305.909
2025-08-06 07:00:00,27,0,0,0,0,0.0,619483706335.4445
2025-08-06 08:00:00,23,0,0,0,0,0.0,610458276599.0
2025-08-06 09:00:00,27,0,0,0,0,0.0,597514188446.1482
2025-08-06 10:00:00,34,0,0,0,0,0.0,594050354863.2354
2025-08-06 11:00:00,25,0,0,0,0,0.0,592721186096.04
2025-08-06 12:00:00,31,0,0,0,0,0.0,591991979002.5807
2025-08-06 13:00:00,34,0,0,0,0,0.0,587755595032.2354
2025-08-06 14:00:00,29,4,0,0,0,0.13793103448275862,585331492738.0344
2025-08-06 15:00:00,28,4,0,0,0,0.14285714285714285,583570392097.9286
2025-08-06 16:00:00,31,2,0,0,0,0.06451612903225806,581414595546.5483
2025-08-06 17:00:00,35,5,0,0,0,0.14285714285714285,581125967610.2285
2025-08-06 18:00:00,38,7,0,0,0,0.18421052631578946,579868052973.8422
2025-08-06 19:00:00,41,8,2,0,2,0.1951219512195122,573158392357.439
2025-08-06 20:00:00,34,2,1,0,1,0.058823529411764705,579437483038.6765
2025-08-06 21:00:00,29,4,1,0,1,0.13793103448275862,582788009443.2759
2025-08-06 22:00:00,37,0,0,0,0,0.0,593101384034.5946
2025-08-06 23:00:00,25,1,0,0,0,0.04,593335691625.8
2025-08-07 00:00:00,33,10,0,0,0,0.30303030303030304,595037916949.6061
2025-08-07 01:00:00,39,6,0,0,0,0.15384615384615385,593831061917.359
2025-08-07 02:00:00,31,7,0,0,0,0.22580645161290322,589292433112.5483
2025-08-07 03:00:00,34,3,0,0,0,0.08823529411764706,597173525376.2354
2025-08-07 04:00:00,29,2,0,0,0,0.06896551724137931,614114100681.7931
2025-08-07 05:00:00,33,2,0,0,0,0.06060606060606061,620386357491.3939
2025-08-07 06:00:00,29,5,0,0,0,0.1724137931034483,629188133009.2413
2025-08-07 07:00:00,34,8,0,0,0,0.23529411764705882,633520948634.2646
2025-08-07 08:00:00,37,6,0,0,0,0.16216216216216217,640831204165.1082
2025-08-07 09:00:00,33,6,1,0,1,0.18181818181818182,643233372915.4849
2025-08-07 10:00:00,30,4,0,0,0,0.13333333333333333,644351859283.5
2025-08-07 11:00:00,32,1,0,0,0,0.03125,651012247150.125
2025-08-07 12:00:00,29,5,0,0,0,0.1724137931034483,658760930508.5862
2025-08-07 13:00:00,34,13,0,0,0,0.38235294117647056,664648489517.0294
2025-08-07 14:00:00,22,9,0,0,0,0.4090909090909091,667785720314.0
2025-08-07 15:00:00,32,13,0,0,0,0.40625,664319624652.25
2025-08-07 16:00:00,38,10,0,0,0,0.2631578947368421,666492278965.8948
2025-08-07 17:00:00,34,4,0,0,0,0.11764705882352941,655768906120.5883
2025-08-07 18:00:00,35,6,0,0,0,0.17142857142857143,667235901555.9143
2025-08-07 19:00:00,17,3,1,0,1,0.17647058823529413,670183375827.8235
2025-08-07 20:00:00,41,12,0,0,0,0.2926829268292683,670515994922.9269
2025-08-07 21:00:00,38,13,0,0,0,0.34210526315789475,678869079279.1316
2025-08-07 22:00:00,32,9,0,0,0,0.28125,676217884141.6875
2025-08-07 23:00:00,37,15,0,0,0,0.40540540540540543,687131810114.2433
2025-08-08 00:00:00,33,11,0,0,0,0.3333333333333333,695751570928.2727
2025-08-08 01:00:00,26,8,0,0,0,0.3076923076923077,700894612212.3462
2025-08-08 02:00:00,28,9,0,0,0,0.32142857142857145,706425891872.7858
2025-08-08 03:00:00,34,9,0,0,0,0.2647058823529412,712393698713.8529
2025-08-08 04:00:00,33,11,0,0,0,0.3333333333333333,718397388854.091
2025-08-08 05:00:00,32,14,0,0,0,0.4375,712911017088.6562
2025-08-08 06:00:00,29,11,0,0,0,0.3793103448275862,714944715993.2759
2025-08-08 07:00:00,37,15,0,0,0,0.40540540540540543,721150381244.0
2025-08-08 08:00:00,31,13,0,0,0,0.41935483870967744,727462890819.3871
2025-08-08 09:00:00,22,4,1,0,1,0.18181818181818182,722748705074.5
2025-08-08 10:00:00,26,2,1,0,1,0.07692307692307693,729939441477.4231
2025-08-08 11:00:00,30,4,0,0,0,0.13333333333333333,736334572771.9333
2025-08-08 12:00:00,33,7,0,0,0,0.21212121212121213,736820090613.1212
2025-08-08 13:00:00,23,2,0,0,0,0.08695652173913043,731846800414.3043
2025-08-08 14:00:00,17,1,0,0,0,0.058823529411764705,727864005236.0588
2025-08-08 15:00:00,22,3,0,0,0,0.13636363636363635,727895863447.7273
2025-08-08 16:00:00,33,3,0,0,0,0.09090909090909091,731486989919.8485
2025-08-08 17:00:00,20,3,0,0,0,0.15,715051168631.2
2025-08-08 18:00:00,27,7,0,0,0,0.25925925925925924,708921933327.0
2025-08-08 19:00:00,25,6,0,0,0,0.24,708978886356.92
2025-08-08 20:00:00,26,6,0,0,0,0.23076923076923078,698457719487.2693
2025-08-08 21:00:00,25,4,0,0,0,0.16,688513090268.88
2025-08-08 22:00:00,24,5,0,0,0,0.20833333333333334,687748042286.7916
2025-08-08 23:00:00,30,12,0,0,0,0.4,672795364724.4667
2025-08-09 00:00:00,23,8,0,0,0,0.34782608695652173,661689157361.7391
2025-08-09 01:00:00,26,4,0,0,0,0.15384615384615385,658623403156.6154
2025-08-09 02:00:00,22,6,0,0,0,0.2727272727272727,653711757031.091
2025-08-09 03:00:00,32,9,0,0,0,0.28125,651226225355.1562
2025-08-09 04:00:00,40,10,0,0,0,0.25,640153334213.75
2025-08-09 05:00:00,35,7,0,0,0,0.2,626754036551.3143
2025-08-09 06:00:00,30,6,0,0,0,0.2,623537042459.5
2025-08-09 07:00:00,39,8,0,0,0,0.20512820512820512,630790845867.5385
2025-08-09 08:00:00,28,6,0,0,0,0.21428571428571427,624020951433.5714
2025-08-09 09:00:00,25,3,0,0,0,0.12,618976476878.68
2025-08-09 10:00:00,32,9,0,0,0,0.28125,628677788168.75
2025-08-09 11:00:00,25,4,0,0,0,0.16,626486514620.92
2025-08-09 12:00:00,39,11,0,0,0,0.28205128205128205,617386845519.7179
2025-08-09 13:00:00,38,14,0,0,0,0.3684210526315789,614915436940.421
2025-08-09 14:00:00,42,17,0,0,0,0.40476190476190477,623504248121.9762
