week,total_blocks,qubic_blocks,orphan_blocks,qubic_orphan_blocks,other_orphan_blocks,qubic_share,mean_difficulty
2025-08-06 23:59:59.999999999,4292,687,9,0,9,0.16006523765144454,644471895110.0848
2025-08-13 23:59:59.999999999,5172,1300,133,29,104,0.251353441608662,661965498137.2166
2025-08-20 23:59:59.999999999,5146,1444,106,74,32,0.28060629615235133,659053275503.6914
2025-08-27 23:59:59.999999999,5137,1283,212,74,138,0.24975666731555382,601349349303.7074
2025-09-03 23:59:59.999999999,5641,1447,572,228,344,0.2565148023400106,561384701969.9553
2025-09-10 23:59:59.999999999,5857,1464,874,356,518,0.24995731603209834,550119136388.4277
2025-09-17 23:59:59.999999999,5762,1476,688,296,392,0.25616105518917043,568399896743.2021
2025-09-24 23:59:59.999999999,5244,1299,189,65,124,0.2477116704805492,619223635582.2223
2025-10-01 23:59:59.999999999,4981,960,3,0,3,0.19273238305561133,634628115418.3597
2025-10-08 23:59:59.999999999,5227,1114,209,102,107,0.2131241629998087,575630696384.0546
2025-10-15 23:59:59.999999999,5010,1020,7,1,6,0.20359281437125748,612497523347.2344
2025-10-22 23:59:59.999999999,1475,288,4,2,2,0.1952542372881356,615294637842.9993
