label,start,end,category,duration_seconds,total_blocks,qubic_blocks,alpha,main_chain_blocks,qubic_main_chain_blocks,expected_main_chain_blocks,target_rate_normalized_yield,main_chain_share
P1,2025-08-11 12:00:00,2025-08-12 07:00:00,period,68400.0,620,219,0.3532258064516129,508,193,570.0,0.3385964912280702,0.3799212598425197
P2,2025-08-14 14:00:00,2025-08-14 18:00:00,period,14400.0,154,59,0.38311688311688313,132,37,120.0,0.30833333333333335,0.2803030303030303
P3,2025-08-21 14:00:00,2025-08-22 01:00:00,period,39600.0,376,127,0.3377659574468085,326,117,330.0,0.35454545454545455,0.3588957055214724
P4,2025-08-25 15:00:00,2025-08-26 08:00:00,period,61200.0,644,217,0.33695652173913043,507,169,510.0,0.33137254901960783,0.3333333333333333
P5,2025-08-28 12:00:00,2025-08-29 09:00:00,period,75600.0,770,245,0.3181818181818182,605,175,630.0,0.2777777777777778,0.2892561983471074
P6,2025-08-30 14:00:00,2025-08-31 17:00:00,period,97200.0,971,313,0.3223480947476828,769,237,810.0,0.29259259259259257,0.3081924577373212
P7,2025-09-01 14:00:00,2025-09-02 13:00:00,period,82800.0,812,265,0.3263546798029557,634,198,690.0,0.28695652173913044,0.31230283911671924
P8,2025-09-04 17:00:00,2025-09-15 04:00:00,period,903600.0,8956,2333,0.2604957570343904,7429,1700,7530.0,0.22576361221779548,0.2288329519450801
P9,2025-09-18 12:00:00,2025-09-19 08:00:00,period,72000.0,780,268,0.3435897435897436,617,212,600.0,0.35333333333333333,0.34359805510534847
P10,2025-10-06 00:00:00,2025-10-07 13:00:00,period,133200.0,1254,299,0.23843700159489634,1053,201,1110.0,0.1810810810810811,0.1908831908831909
P1-P10,2025-08-11 12:00:00,2025-10-07 13:00:00,aggregate_active,1548000.0,15337,4345,0.283301819130208,12580,3239,12900.0,0.2510852713178295,0.25747217806041334
ALL,2025-08-01 00:04:06,2025-10-17 23:59:50,aggregate_global,6738944.0,58943,13782,0.23381911338072375,55937,12555,56157.86666666667,0.2235661848503267,0.22444893362175306
