start_height,end_height,length_qubic_run,total_orphans_on_run,max_consecutive_orphan_heights,start_ts,end_ts,period,verified_self_fork_count,release_inference_eligible
3468654,3468654,1,1,1,2025-08-02 00:24:04,2025-08-02 00:26:23,,0,True
3469670,3469670,1,1,1,2025-08-03 08:54:03,2025-08-03 08:54:05,,0,True
3471456,3471456,1,1,1,2025-08-05 21:29:55,2025-08-05 21:32:17,,0,True
3472098,3472099,2,2,2,2025-08-06 19:29:25,2025-08-06 19:34:40,,0,True
3472148,3472148,1,1,1,2025-08-06 20:49:34,2025-08-06 20:51:21,,0,True
3472176,3472176,1,1,1,2025-08-06 21:52:35,2025-08-06 21:53:35,,0,True
3472864,3472864,1,1,1,2025-08-07 19:17:50,2025-08-07 19:20:25,,0,True
3473321,3473321,4,1,1,2025-08-08 09:48:49,2025-08-08 09:55:11,,0,True
3473345,3473345,1,1,1,2025-08-08 10:37:58,2025-08-08 10:41:52,,0,True
3474251,3474251,1,1,1,2025-08-09 17:31:53,2025-08-09 17:37:44,,0,True
3474262,3474262,2,1,1,2025-08-09 17:59:22,2025-08-09 18:04:27,,0,True
3474267,3474267,2,1,1,2025-08-09 18:09:13,2025-08-09 18:18:56,,0,True
3474269,3474269,1,1,1,2025-08-09 18:16:41,2025-08-09 18:19:09,,0,True
3474284,3474284,3,1,1,2025-08-09 18:40:17,2025-08-09 18:43:14,,0,True
3474287,3474287,3,1,1,2025-08-09 18:42:41,2025-08-09 18:53:58,,0,True
3474324,3474324,3,1,1,2025-08-09 19:55:37,2025-08-09 19:57:32,,0,True
3474341,3474341,1,1,1,2025-08-09 20:23:07,2025-08-09 20:24:47,,0,True
3474343,3474343,2,1,1,2025-08-09 20:25:06,2025-08-09 20:29:03,,0,True
3474354,3474354,1,1,1,2025-08-09 20:51:58,2025-08-09 20:53:45,,0,True
3475528,3475528,1,1,1,2025-08-11 12:14:41,2025-08-11 12:15:53,P1,0,True
3475544,3475544,1,1,1,2025-08-11 12:51:23,2025-08-11 12:55:14,P1,0,True
3475562,3475563,2,2,2,2025-08-11 13:26:33,2025-08-11 13:33:25,P1,0,True
3475576,3475576,1,1,1,2025-08-11 14:02:21,2025-08-11 14:10:28,P1,0,True
3475582,3475582,1,1,1,2025-08-11 14:15:55,2025-08-11 14:21:43,P1,0,True
3475589,3475591,4,3,3,2025-08-11 14:38:25,2025-08-11 15:10:54,P1,0,True
3475608,3475608,1,1,1,2025-08-11 15:40:39,2025-08-11 15:45:19,P1,0,True
3475667,3475667,2,1,1,2025-08-11 17:28:49,2025-08-11 17:34:51,P1,0,True
3475674,3475674,1,1,1,2025-08-11 17:44:55,2025-08-11 17:49:30,P1,0,True
3475680,3475680,1,1,1,2025-08-11 17:54:14,2025-08-11 17:55:16,P1,0,True
3475685,3475685,2,1,1,2025-08-11 18:02:12,2025-08-11 18:07:43,P1,0,True
3475687,3475687,1,1,1,2025-08-11 18:06:31,2025-08-11 18:15:46,P1,0,True
3475695,3475695,2,1,1,2025-08-11 18:24:28,2025-08-11 18:28:42,P1,0,True
3475705,3475705,1,1,1,2025-08-11 18:46:25,2025-08-11 18:51:51,P1,0,True
3475716,3475717,3,2,2,2025-08-11 19:12:36,2025-08-11 19:20:48,P1,0,True
3475737,3475737,1,1,1,2025-08-11 20:00:20,2025-08-11 20:05:45,P1,0,True
3475739,3475739,1,1,1,2025-08-11 20:07:04,2025-08-11 20:10:27,P1,0,True
3475743,3475743,2,1,1,2025-08-11 20:13:55,2025-08-11 20:16:35,P1,0,True
3475746,3475746,2,1,1,2025-08-11 20:17:35,2025-08-11 20:25:15,P1,0,True
3475762,3475762,1,1,1,2025-08-11 21:06:20,2025-08-11 21:12:29,P1,0,True
3475769,3475769,2,1,1,2025-08-11 21:28:21,2025-08-11 21:30:11,P1,0,True
