config_id,min_orphans_per_hour,min_duration_hours,merge_gap_hours,period_count,total_duration_hours,total_blocks,main_chain_blocks,expected_main_chain_blocks,qubic_blocks,qubic_main_chain_blocks,alpha,target_rate_normalized_yield,yield_minus_alpha,main_chain_share,baseline_hour_jaccard,baseline_hour_recall,baseline_hour_extra_ratio
t1_d2_g2,1,2,2,29,510.0,17952,15056,15300.0,5008,3829,0.2789661319073084,0.25026143790849675,-0.028704693998811648,0.25431721572794896,0.8431372549019608,1.0,0.18604651162790697
t1_d2_g4,1,2,4,24,527.0,18475,15577,15810.0,5158,3978,0.2791880920162382,0.25161290322580643,-0.02757518879043175,0.255376516659177,0.8159392789373814,1.0,0.2255813953488372
t1_d2_g6,1,2,6,22,538.0,18873,15973,16140.0,5307,4126,0.28119535844857735,0.255638166047088,-0.025557192401489348,0.2583108996431478,0.7992565055762082,1.0,0.25116279069767444
t1_d2_g8,1,2,8,20,554.0,19397,16497,16620.0,5417,4236,0.2792699902046708,0.2548736462093863,-0.02439634399528451,0.25677395890161847,0.776173285198556,1.0,0.28837209302325584
t1_d2_g12,1,2,12,17,587.0,20408,17503,17610.0,5687,4502,0.2786652293218346,0.2556501987507098,-0.02301503057112475,0.2572130491915672,0.7325383304940375,1.0,0.36511627906976746
t1_d4_g2,1,4,2,15,471.0,16660,13831,14130.0,4691,3542,0.28157262905162067,0.25067232837933473,-0.03090030067228594,0.2560913889089726,0.9129511677282378,1.0,0.09534883720930233
t1_d4_g4,1,4,4,15,471.0,16660,13831,14130.0,4691,3542,0.28157262905162067,0.25067232837933473,-0.03090030067228594,0.2560913889089726,0.9129511677282378,1.0,0.09534883720930233
t1_d4_g6,1,4,6,14,476.0,16859,14029,14280.0,4779,3630,0.2834687703897028,0.2542016806722689,-0.029267089717433914,0.25874973269655716,0.9033613445378151,1.0,0.10697674418604651
t1_d4_g8,1,4,8,13,484.0,17103,14273,14520.0,4831,3682,0.2824650646085482,0.25358126721763086,-0.028883797390917343,0.25796959293771454,0.8884297520661157,1.0,0.12558139534883722
t1_d4_g12,1,4,12,13,484.0,17103,14273,14520.0,4831,3682,0.2824650646085482,0.25358126721763086,-0.028883797390917343,0.25796959293771454,0.8884297520661157,1.0,0.12558139534883722
t1_d6_g2,1,6,2,12,458.0,16246,13444,13740.0,4548,3412,0.27994583282038654,0.24832605531295487,-0.03161977750743167,0.2537935138351681,0.9388646288209607,1.0,0.06511627906976744
t1_d6_g4,1,6,4,12,458.0,16246,13444,13740.0,4548,3412,0.27994583282038654,0.24832605531295487,-0.03161977750743167,0.2537935138351681,0.9388646288209607,1.0,0.06511627906976744
t1_d6_g6,1,6,6,12,458.0,16246,13444,13740.0,4548,3412,0.27994583282038654,0.24832605531295487,-0.03161977750743167,0.2537935138351681,0.9388646288209607,1.0,0.06511627906976744
t1_d6_g8,1,6,8,11,466.0,16490,13688,13980.0,4600,3464,0.27895694360218315,0.24778254649499284,-0.031174397107190305,0.25306838106370544,0.9227467811158798,1.0,0.08372093023255814
t1_d6_g12,1,6,12,11,466.0,16490,13688,13980.0,4600,3464,0.27895694360218315,0.24778254649499284,-0.031174397107190305,0.25306838106370544,0.9227467811158798,1.0,0.08372093023255814
t1_d8_g2,1,8,2,10,445.0,15786,13016,13350.0,4402,3297,0.27885468136323327,0.24696629213483146,-0.031888389228401814,0.25330362630608483,0.9487750556792873,0.9906976744186047,0.044186046511627906
t1_d8_g4,1,8,4,10,445.0,15786,13016,13350.0,4402,3297,0.27885468136323327,0.24696629213483146,-0.031888389228401814,0.25330362630608483,0.9487750556792873,0.9906976744186047,0.044186046511627906
t1_d8_g6,1,8,6,10,445.0,15786,13016,13350.0,4402,3297,0.27885468136323327,0.24696629213483146,-0.031888389228401814,0.25330362630608483,0.9487750556792873,0.9906976744186047,0.044186046511627906
t1_d8_g8,1,8,8,9,453.0,16030,13260,13590.0,4454,3349,0.27785402370555207,0.24643119941133187,-0.03142282429422019,0.25256410256410255,0.9321663019693655,0.9906976744186047,0.06279069767441861
t1_d8_g12,1,8,12,9,453.0,16030,13260,13590.0,4454,3349,0.27785402370555207,0.24643119941133187,-0.03142282429422019,0.25256410256410255,0.9321663019693655,0.9906976744186047,0.06279069767441861
t2_d2_g2,2,2,2,15,442.0,15703,12899,13260.0,4438,3307,0.2826211551932752,0.24939668174962293,-0.03322447344365226,0.25637646329172803,0.9728506787330317,1.0,0.027906976744186046
t2_d2_g4,2,2,4,13,450.0,15951,13141,13500.0,4497,3362,0.28192589806281737,0.24903703703703703,-0.03288886102578034,0.25584049920097407,0.9555555555555556,1.0,0.046511627906976744
t2_d2_g6,2,2,6,13,450.0,15951,13141,13500.0,4497,3362,0.28192589806281737,0.24903703703703703,-0.03288886102578034,0.25584049920097407,0.9555555555555556,1.0,0.046511627906976744
t2_d2_g8,2,2,8,13,450.0,15951,13141,13500.0,4497,3362,0.28192589806281737,0.24903703703703703,-0.03288886102578034,0.25584049920097407,0.9555555555555556,1.0,0.046511627906976744
t2_d2_g12,2,2,12,11,468.0,16532,13720,14040.0,4616,3480,0.279216065811759,0.24786324786324787,-0.031352817948511136,0.2536443148688047,0.9188034188034188,1.0,0.08837209302325581
t2_d4_g2,2,4,2,11,425.0,15168,12420,12750.0,4327,3226,0.2852716244725738,0.25301960784313726,-0.03225201662943655,0.25974235104669885,0.9883720930232558,0.9883720930232558,0.0
t2_d4_g4,2,4,4,11,425.0,15168,12420,12750.0,4327,3226,0.2852716244725738,0.25301960784313726,-0.03225201662943655,0.25974235104669885,0.9883720930232558,0.9883720930232558,0.0
t2_d4_g6,2,4,6,10,430.0,15337,12580,12900.0,4345,3239,0.283301819130208,0.2510852713178295,-0.03221654781237854,0.25747217806041334,1.0,1.0,0.0
