config_id,min_orphans_per_hour,min_duration_hours,merge_gap_hours,period,start,end,duration_hours
t1_d2_g2,1,2,2,P1,2025-08-06 19:00:00,2025-08-06 22:00:00,3.0
t1_d2_g2,1,2,2,P2,2025-08-08 09:00:00,2025-08-08 11:00:00,2.0
t1_d2_g2,1,2,2,P3,2025-08-09 17:00:00,2025-08-09 21:00:00,4.0
t1_d2_g2,1,2,2,P4,2025-08-11 12:00:00,2025-08-12 08:00:00,20.0
t1_d2_g2,1,2,2,P5,2025-08-14 11:00:00,2025-08-14 18:00:00,7.0
t1_d2_g2,1,2,2,P6,2025-08-14 23:00:00,2025-08-15 03:00:00,4.0
t1_d2_g2,1,2,2,P7,2025-08-15 06:00:00,2025-08-15 08:00:00,2.0
t1_d2_g2,1,2,2,P8,2025-08-16 06:00:00,2025-08-16 08:00:00,2.0
t1_d2_g2,1,2,2,P9,2025-08-16 14:00:00,2025-08-16 19:00:00,5.0
t1_d2_g2,1,2,2,P10,2025-08-16 22:00:00,2025-08-17 01:00:00,3.0
t1_d2_g2,1,2,2,P11,2025-08-17 05:00:00,2025-08-17 07:00:00,2.0
t1_d2_g2,1,2,2,P12,2025-08-18 10:00:00,2025-08-18 13:00:00,3.0
t1_d2_g2,1,2,2,P13,2025-08-18 23:00:00,2025-08-19 05:00:00,6.0
t1_d2_g2,1,2,2,P14,2025-08-19 17:00:00,2025-08-19 19:00:00,2.0
t1_d2_g2,1,2,2,P15,2025-08-20 14:00:00,2025-08-20 16:00:00,2.0
t1_d2_g2,1,2,2,P16,2025-08-21 14:00:00,2025-08-22 01:00:00,11.0
t1_d2_g2,1,2,2,P17,2025-08-23 15:00:00,2025-08-23 21:00:00,6.0
t1_d2_g2,1,2,2,P18,2025-08-25 15:00:00,2025-08-26 08:00:00,17.0
t1_d2_g2,1,2,2,P19,2025-08-28 00:00:00,2025-08-28 03:00:00,3.0
t1_d2_g2,1,2,2,P20,2025-08-28 11:00:00,2025-08-29 10:00:00,23.0
t1_d2_g2,1,2,2,P21,2025-08-30 14:00:00,2025-08-31 17:00:00,27.0
t1_d2_g2,1,2,2,P22,2025-08-31 21:00:00,2025-09-01 02:00:00,5.0
t1_d2_g2,1,2,2,P23,2025-09-01 13:00:00,2025-09-02 13:00:00,24.0
t1_d2_g2,1,2,2,P24,2025-09-04 12:00:00,2025-09-04 14:00:00,2.0
t1_d2_g2,1,2,2,P25,2025-09-04 17:00:00,2025-09-15 05:00:00,252.0
t1_d2_g2,1,2,2,P26,2025-09-17 16:00:00,2025-09-18 04:00:00,12.0
t1_d2_g2,1,2,2,P27,2025-09-18 12:00:00,2025-09-19 09:00:00,21.0
t1_d2_g2,1,2,2,P28,2025-10-05 23:00:00,2025-10-07 13:00:00,38.0
t1_d2_g2,1,2,2,P29,2025-10-12 12:00:00,2025-10-12 14:00:00,2.0
t1_d2_g4,1,2,4,P1,2025-08-06 19:00:00,2025-08-06 22:00:00,3.0
t1_d2_g4,1,2,4,P2,2025-08-08 09:00:00,2025-08-08 11:00:00,2.0
t1_d2_g4,1,2,4,P3,2025-08-09 17:00:00,2025-08-09 21:00:00,4.0
t1_d2_g4,1,2,4,P4,2025-08-11 12:00:00,2025-08-12 08:00:00,20.0
t1_d2_g4,1,2,4,P5,2025-08-14 11:00:00,2025-08-14 18:00:00,7.0
t1_d2_g4,1,2,4,P6,2025-08-14 23:00:00,2025-08-15 08:00:00,9.0
t1_d2_g4,1,2,4,P7,2025-08-16 06:00:00,2025-08-16 08:00:00,2.0
t1_d2_g4,1,2,4,P8,2025-08-16 14:00:00,2025-08-17 07:00:00,17.0
t1_d2_g4,1,2,4,P9,2025-08-18 10:00:00,2025-08-18 13:00:00,3.0
t1_d2_g4,1,2,4,P10,2025-08-18 23:00:00,2025-08-19 05:00:00,6.0
t1_d2_g4,1,2,4,P11,2025-08-19 17:00:00,2025-08-19 19:00:00,2.0
t1_d2_g4,1,2,4,P12,2025-08-20 14:00:00,2025-08-20 16:00:00,2.0
