week,alpha,gamma,total_tie_breaking_races,honest_next_blocks,honest_extensions_of_qubic,blocks
2025-07-30,0.17670120414449733,0.0,3,0,0,3571
2025-08-06,0.2362478286045165,0.034482758620689655,64,29,1,5181
2025-08-13,0.2781456953642384,0.021739130434782608,63,46,1,5134
2025-08-20,0.2512533744697262,0.04,109,75,3,5186
2025-08-27,0.25739223370146064,0.013100436681222707,360,229,3,5614
2025-09-03,0.25004314063848143,0.006329113924050633,490,316,2,5795
2025-09-10,0.25862364853269265,0.012195121951219513,491,328,4,5827
2025-09-17,0.24779609045611345,0.04819277108433735,129,83,4,5218
2025-09-24,0.19525329078579975,0.0,1,0,0,5014
2025-10-01,0.20928448110492998,0.009708737864077669,153,103,1,5213
2025-10-08,0.20850725501888293,0.0,1,1,0,5031
2025-10-15,0.17731481481481481,0.5,3,2,1,2160
