height,timestamp,early_block_hash,late_block_hash,early_timestamp,late_timestamp,late_wins,is_gamma_case
3468530,2025-08-01 20:18:11,fd67e0d952e82e6c1ba9a46b7d68252eb89330fc5f3e7dfba61ae3c72d53f05b,66b0d895faebce815e4ab466fa62da169cc850fb94d2cc0e314d85ef46bfbd1c,2025-08-01 20:18:10,2025-08-01 20:18:11,False,False
3469273,2025-08-02 19:16:53,45c0bed018139fcb486b103ef76f61d77d8e9e4e5cf7261e3470c5ce3100231c,f7db949a60f50971367f9916a041cd13b2fa8e64e707cc33cc8d4405018691b5,2025-08-02 19:16:51,2025-08-02 19:16:53,False,False
3472545,2025-08-07 09:11:36,65cd46e72daaef7ab4d06e8a0b90e4565dd963e3f203f66d12ed7c554b65156c,4257b9d7f637fcb9675980825bbde165d9e8d17f0d567ed565a03fde3ed61f10,2025-08-07 09:11:26,2025-08-07 09:11:36,False,False
3474775,2025-08-10 10:27:33,e5e13100daa8ec62af49780a6de9fc2518c9dd205b03b70fcbc7760c71cbe946,c3f5eeed14c5fc40228cfcfa10ee14b856376b0492a9a5bafd89c49d1cbd1ebc,2025-08-10 10:27:33,2025-08-10 10:27:33,False,False
3474903,2025-08-10 15:44:54,b4e13030f2fefd7845075f99e98fd6f18c49a74982415a1b03876ae704ef9cac,6a5467f5c6d49ae0fc3127cd58cc156a220bb9c074c34915050ced42279c7ffa,2025-08-10 15:44:53,2025-08-10 15:44:54,True,True
3475659,2025-08-11 17:25:40,0c62460b942f75297f9abd7b71d01779853d351ccd5b8c44193ed476b6e635a7,b74969a31f523837776b94a21a69ffa39f43dfa67618220f6d5f9749edb1c5e1,2025-08-11 17:25:39,2025-08-11 17:25:40,True,True
3477985,2025-08-14 21:39:06,27d4a548d8d75744c726d5a44bebc5c826732bf1dea49e07987ebaec4d41d9ca,eb51dac2ee521181f69a2273b9788a81c802f07e84a593775321d85a2cc2dcaf,2025-08-14 21:38:44,2025-08-14 21:39:06,False,False
3478909,2025-08-16 06:58:28,8a3b04ca03610ea80753c93cfdc74ef1ba06ac2bf2d2651be2580a3db4314675,0854de6d482e64650b4d16dce15e9457aefb58ed0fb87c0e8b97ad24ef1ee145,2025-08-16 06:56:57,2025-08-16 06:58:28,False,False
3480872,2025-08-19 00:07:25,5ff90b59c03ebe7adca536985f986d72ddeaf3bb9c0ce011f42327402450e189,7be0884baef83342decdd1d5fb1766632edcb43ad40dfada8a1321f01c3ecc30,2025-08-19 00:07:24,2025-08-19 00:07:25,True,True
3481928,2025-08-20 11:05:32,318bd05f84ded4049ae8fa907cc095073909305f933d7acd16542a10fe9e7174,bd68d3d3e65dee06239ad9434837baaa3e2db2ac00ff2da408d6381a722b1eb9,2025-08-20 11:05:16,2025-08-20 11:05:32,True,True
3482042,2025-08-20 14:14:07,ce4f56283c4796347d943838e277f760482b3a006fd92cf79dcee6899201f4ad,63bf148adeea647277ec1f25c04a492b5ac8e52ccdc43856916c764f28e49f35,2025-08-20 14:14:00,2025-08-20 14:14:07,False,False
3482068,2025-08-20 15:10:20,8251ca5e179c7da1b36a398d1a5301c363cc1fed1354b19cc17d02d154a619cc,4151a054f7a0949bcb8c3228d17191944e4dbf3505f56257894157f75647c54f,2025-08-20 15:10:16,2025-08-20 15:10:20,False,False
3482519,2025-08-21 07:28:52,962e48bcfa1f0efb9d655399ba788ce86f09b84261e72ba94cb11860c133bd87,046c43fed6d3bb005c39ec6f1b44b65987f0b03577532b6169cf1bbdf297804a,2025-08-21 07:28:48,2025-08-21 07:28:52,True,True
3484207,2025-08-23 16:07:44,30eeb6551810402da6fa473b57f0815331cd96de9a963c06695c3d547b70781e,8ded75173db5684b43090752b92c4fb02dae0a574e0f320d191c83d1570cc3f6,2025-08-23 16:07:39,2025-08-23 16:07:44,False,False
