label,start,end,alpha,R,total_blocks,qubic_blocks,total_main_chain,qubic_main_chain,expected_main_chain,period_duration_seconds,category,aggregate_type,spans
P1,2025-08-11 12:00:00,2025-08-12 07:00:00,0.3415435139573071,0.3385964912280702,609,208,508,193,570.0,68400.0,period,,"[(Timestamp('2025-08-11 12:00:00'), Timestamp('2025-08-12 07:00:00'))]"
P2,2025-08-16 16:00:00,2025-08-17 07:00:00,0.32127659574468087,0.31777777777777777,470,151,440,143,450.0,54000.0,period,,"[(Timestamp('2025-08-16 16:00:00'), Timestamp('2025-08-17 07:00:00'))]"
P3,2025-08-21 14:00:00,2025-08-22 04:00:00,0.33122362869198313,0.3476190476190476,474,157,421,146,420.0,50400.0,period,,"[(Timestamp('2025-08-21 14:00:00'), Timestamp('2025-08-22 04:00:00'))]"
P4,2025-08-25 15:00:00,2025-08-26 08:00:00,0.3348909657320872,0.33137254901960783,642,215,507,169,510.0,61200.0,period,,"[(Timestamp('2025-08-25 15:00:00'), Timestamp('2025-08-26 08:00:00'))]"
P5,2025-08-28 12:00:00,2025-08-29 09:00:00,0.31640625,0.2777777777777778,768,243,605,175,630.0,75600.0,period,,"[(Timestamp('2025-08-28 12:00:00'), Timestamp('2025-08-29 09:00:00'))]"
P6,2025-08-30 14:00:00,2025-08-31 17:00:00,0.3223480947476828,0.29259259259259257,971,313,769,237,810.0,97200.0,period,,"[(Timestamp('2025-08-30 14:00:00'), Timestamp('2025-08-31 17:00:00'))]"
P7,2025-09-01 14:00:00,2025-09-02 12:00:00,0.3102094240837696,0.29393939393939394,764,237,611,194,660.0,79200.0,period,,"[(Timestamp('2025-09-01 14:00:00'), Timestamp('2025-09-02 12:00:00'))]"
P8,2025-09-04 17:00:00,2025-09-15 04:00:00,0.2578081271689242,0.2248339973439575,8933,2303,7429,1693,7530.0,903600.0,period,,"[(Timestamp('2025-09-04 17:00:00'), Timestamp('2025-09-15 04:00:00'))]"
P9,2025-09-18 12:00:00,2025-09-19 08:00:00,0.3435897435897436,0.35333333333333333,780,268,617,212,600.0,72000.0,period,,"[(Timestamp('2025-09-18 12:00:00'), Timestamp('2025-09-19 08:00:00'))]"
P10,2025-10-06 00:00:00,2025-10-07 13:00:00,0.2346368715083799,0.17927927927927928,1253,294,1053,199,1110.0,133200.0,period,,"[(Timestamp('2025-10-06 00:00:00'), Timestamp('2025-10-07 13:00:00'))]"
ALL,2025-08-01 00:04:06,2025-10-17 23:59:50,0.22090059473237042,0.21138623499468165,58850,13000,55937,11871,56157.86666666667,6738944.0,aggregate,overall,"[(Timestamp('2025-08-01 00:04:06'), Timestamp('2025-10-17 23:59:50'))]"
P1-P10,2025-08-11 12:00:00,2025-10-07 13:00:00,0.28019662921348315,0.2528969149736644,15664,4389,12960,3361,13290.0,1594800.0,aggregate,selfish,"[(Timestamp('2025-08-11 12:00:00'), Timestamp('2025-08-12 07:00:00')), (Timestamp('2025-08-16 16:00:00'), Timestamp('2025-08-17 07:00:00')), (Timestamp('2025-08-21 14:00:00'), Timestamp('2025-08-22 04:00:00')), (Timestamp('2025-08-25 15:00:00'), Timestamp('2025-08-26 08:00:00')), (Timestamp('2025-08-28 12:00:00'), Timestamp('2025-08-29 09:00:00')), (Timestamp('2025-08-30 14:00:00'), Timestamp('2025-08-31 17:00:00')), (Timestamp('2025-09-01 14:00:00'), Timestamp('2025-09-02 12:00:00')), (Timestamp('2025-09-04 17:00:00'), Timestamp('2025-09-15 04:00:00')), (Timestamp('2025-09-18 12:00:00'), Timestamp('2025-09-19 08:00:00')), (Timestamp('2025-10-06 00:00:00'), Timestamp('2025-10-07 13:00:00'))]"
