alpha,gamma,total_0_prime,gamma_opportunities,gamma_successes,blocks,period,start,end
0.3415435139573071,0.0,100,15,0,609,P1,2025-08-11 12:00:00,2025-08-12 07:00:00
0.32127659574468087,0.0,30,8,0,470,P2,2025-08-16 16:00:00,2025-08-17 07:00:00
0.33122362869198313,0.08333333333333333,53,12,1,474,P3,2025-08-21 14:00:00,2025-08-22 04:00:00
0.3348909657320872,0.02127659574468085,135,47,1,642,P4,2025-08-25 15:00:00,2025-08-26 08:00:00
0.31640625,0.014705882352941176,162,68,1,768,P5,2025-08-28 12:00:00,2025-08-29 09:00:00
0.3223480947476828,0.012987012987012988,202,77,1,971,P6,2025-08-30 14:00:00,2025-08-31 17:00:00
0.3102094240837696,0.022727272727272728,151,44,1,764,P7,2025-09-01 14:00:00,2025-09-02 12:00:00
0.2578081271689242,0.00974025974025974,1496,616,6,8933,P8,2025-09-04 17:00:00,2025-09-15 04:00:00
0.3435897435897436,0.034482758620689655,162,58,2,780,P9,2025-09-18 12:00:00,2025-09-19 08:00:00
0.2346368715083799,0.0,194,95,0,1253,P10,2025-10-06 00:00:00,2025-10-07 13:00:00
