week,alpha,gamma,total_0_prime,gamma_successes,estimated_0_prime_count,blocks
2025-07-30,0.17670120414449733,0.0,3,0,3,3571
2025-08-06,0.23447475333720255,0.058823529411764705,52,1,52,5169
2025-08-13,0.27066196631414025,0.03333333333333333,42,1,42,5106
2025-08-20,0.25081998842369285,0.041666666666666664,106,3,106,5183
2025-08-27,0.2448103078024338,0.014705882352941176,336,3,336,5588
2025-09-03,0.23536543124350537,0.006802721088435374,468,2,468,5774
2025-09-10,0.2353648068669528,0.012269938650306749,488,4,488,5825
2025-09-17,0.21981602146416251,0.0375,125,3,125,5218
2025-09-24,0.17690466693258874,0.0,1,0,1,5014
2025-10-01,0.1884113584036838,0.01,149,1,149,5212
2025-10-08,0.19439475253428742,0.0,1,0,1,5031
2025-10-15,0.17731481481481481,0.5,3,1,3,2160
