alpha,total_races,qubic_won_race,race_win_rate,qubic_self_extended,self_extension_rate,period
0.3415435139573071,40,25,0.625,25,0.625,P1
0.32127659574468087,11,3,0.2727272727272727,3,0.2727272727272727,P2
0.33122362869198313,27,15,0.5555555555555556,15,0.5555555555555556,P3
0.3348909657320872,64,17,0.265625,17,0.265625,P4
0.31640625,111,43,0.38738738738738737,43,0.38738738738738737,P5
0.3223480947476828,117,40,0.3418803418803419,40,0.3418803418803419,P6
0.3102094240837696,86,42,0.4883720930232558,42,0.4883720930232558,P7
0.2578081271689242,951,335,0.352260778128286,335,0.352260778128286,P8
0.3435897435897436,95,37,0.3894736842105263,37,0.3894736842105263,P9
0.2346368715083799,143,48,0.3356643356643357,48,0.3356643356643357,P10
